date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,tier,outcome_home,elo_home,elo_away,elo_diff
2000-02-02,DR Congo,Gabon,0.0,0.0,African Cup of Nations,Accra,Ghana,True,1,0.5,1481.4512996125354,1442.1796768456782,39.27162276685726
2000-02-02,Cyprus,Lithuania,2.0,1.0,Cyprus International Tournament,Limassol,Cyprus,False,0,1.0,1500.0,1500.0,0.0
2000-02-03,Nigeria,Morocco,2.0,0.0,African Cup of Nations,Lagos,Nigeria,False,1,1.0,1527.430551978088,1521.7605529356952,5.669999042392874
2000-02-03,Tunisia,Congo,1.0,0.0,African Cup of Nations,Kano,Nigeria,True,1,1.0,1476.0113268064922,1483.1464040613628,-7.135077254870566
2000-02-04,Cyprus,Armenia,3.0,2.0,Cyprus International Tournament,Nicosia,Cyprus,False,0,1.0,1500.0,1500.0,0.0
2000-02-04,Faroe Islands,Iceland,2.0,3.0,Nordic Championship,Cartagena,Spain,True,3,0.0,1490.0,1510.28774368332,-20.28774368332006
2000-02-04,Kuwait,Iran,1.0,1.0,Friendly,Kuwait City,Kuwait,False,4,0.5,1509.375,1495.0719508170905,14.30304918290949
2000-02-04,Moldova,Lithuania,2.0,1.0,Cyprus International Tournament,Larnaca,Cyprus,True,0,1.0,1500.0,1500.0,0.0
2000-02-04,Norway,Sweden,1.0,1.0,Nordic Championship,Cartagena,Spain,True,3,0.5,1500.0,1500.0,0.0
2000-02-04,Romania,Georgia,1.0,1.0,Cyprus International Tournament,Larnaca,Cyprus,True,0,0.5,1500.0,1500.0,0.0
2000-02-05,Guatemala,Chile,2.0,1.0,Friendly,Guatemala City,Guatemala,False,4,1.0,1492.7157333305115,1490.1418166710987,2.5739166594128164
2000-02-05,Japan,Mexico,0.0,1.0,Lunar New Year Cup,So Kon Po,Hong Kong,True,0,0.0,1500.0,1505.0,-5.0
2000-02-06,Ghana,South Africa,0.0,1.0,African Cup of Nations,Kumasi,Ghana,False,1,0.0,1500.2778948309722,1546.8155115063669,-46.5376166753947
2000-02-06,Latvia,Lithuania,1.0,2.0,Cyprus International Tournament,Larnaca,Cyprus,True,0,0.0,1500.0,1500.0,0.0
2000-02-06,Georgia,Armenia,2.0,1.0,Cyprus International Tournament,Limassol,Cyprus,True,0,1.0,1500.0,1500.0,0.0
2000-02-06,Malta,Azerbaijan,3.0,0.0,Malta International Tournament,Attard,Malta,False,0,1.0,1507.5,1500.0,7.5
2000-02-06,Cayman Islands,Jamaica,0.0,0.0,Friendly,George Town,Cayman Islands,False,4,0.5,1500.0,1504.9280491829095,-4.92804918290949
2000-02-06,Cameroon,Algeria,2.0,1.0,African Cup of Nations,Accra,Ghana,True,1,1.0,1511.8405077555199,1524.5535120354198,-12.713004279899906
2000-02-06,Albania,Andorra,3.0,0.0,Malta International Tournament,Attard,Malta,True,0,1.0,1500.0,1500.0,0.0
2000-02-06,Cyprus,Romania,3.0,2.0,Cyprus International Tournament,Nicosia,Cyprus,False,0,1.0,1500.0,1500.0,0.0
2000-02-07,Nigeria,Senegal,2.0,1.0,African Cup of Nations,Lagos,Nigeria,False,1,1.0,1556.9410083643836,1507.6831943923237,49.25781397205992
2000-02-07,Singapore,Malaysia,3.0,1.0,Friendly,Singapore,Singapore,False,4,1.0,1500.0,1500.0,0.0
2000-02-07,Egypt,Tunisia,0.0,1.0,African Cup of Nations,Kano,Nigeria,True,1,0.0,1567.4226751859078,1496.421997138663,71.00067804724472
2000-02-08,Albania,Azerbaijan,1.0,0.0,Malta International Tournament,Attard,Malta,True,0,1.0,1500.0,1500.0,0.0
2000-02-08,Malta,Andorra,1.0,1.0,Malta International Tournament,Attard,Malta,False,0,0.5,1507.5,1500.0,7.5
2000-02-08,Mexico,Czech Republic,1.0,2.0,Lunar New Year Cup,So Kon Po,Hong Kong,True,0,0.0,1505.0,1500.0,5.0
2000-02-08,Syria,North Korea,5.0,1.0,Friendly,Damascus,Syria,False,4,1.0,1490.625,1500.0,-9.375
2000-02-09,Bulgaria,Slovakia,1.0,0.0,Friendly,Valparaíso,Chile,True,4,1.0,1500.0,1500.0,0.0
